koi_prad,koi_period,koi_steff,koi_srad,koi_depth,koi_duration,koi_model_snr,koi_disposition
26.06,6.810823723,7226.0,2.079,14447.0,7.98574,1441.9,CANDIDATE
53.1,91.05641908,6142.0,1.046,57608.0,6.7282,701.1,FALSE POSITIVE
3.86,20.5736113,5440.0,4.524,76.0,11.222,12.3,FALSE POSITIVE
6.85,85.5692223,5361.0,1.951,539.2,4.954,18.2,FALSE POSITIVE
1.95,6.99130452,4847.0,0.761,555.4,2.1568,36.3,CONFIRMED
1.72,0.341842017,5016.0,0.747,285.6,1.1554,70.1,CONFIRMED
2.96,4.807103254,5534.0,1.08,450.5,0.9393,32.9,CONFIRMED
1.61,641.60204,6277.0,1.031,237.3,16.762,10.6,CANDIDATE
1.72,22.7082375,6170.0,0.992,298.8,3.503,22.0,CONFIRMED
1.58,11.47685263,5550.0,1.032,240.6,2.756,16.5,CONFIRMED
23.05,0.393727296,5628.0,0.808,903.5,3.02,82.4,FALSE POSITIVE
0.9,0.677374687,5718.0,1.037,76.7,1.8361,38.7,CONFIRMED
2.61,264.466625,6551.0,1.236,437.3,6.371,27.0,CANDIDATE
1.59,7.54235832,5711.0,1.391,132.5,4.73,25.8,CONFIRMED
0.81,3.39904814,5766.0,0.929,69.6,2.922,8.1,CANDIDATE
1.65,31.9533679,6313.0,1.467,106.1,8.424,15.2,CANDIDATE
2.26,32.376183,4580.0,0.675,745.4,4.4639,34.2,CANDIDATE
3.12,18.64932728,5775.0,1.053,893.6,4.4056,46.1,CONFIRMED
2.17,13.54057461,5767.0,1.014,461.0,4.4673,53.3,CONFIRMED
2.9,56.4148314,6325.0,1.112,480.1,8.075,16.4,CANDIDATE
3.33,147.97391,5578.0,0.95,1267.1,6.854,26.4,CANDIDATE
1.48,143.09688,6725.0,1.31,125.0,17.74,6.4,CANDIDATE
1.44,2.586639524,5780.0,0.966,217.7,2.253,77.3,CONFIRMED
1.24,10.8118317,6025.0,1.196,76.8,2.627,9.5,CONFIRMED
3.43,40.05881661,5668.0,0.868,1239.4,5.595,62.6,CONFIRMED
1.82,476.39752,6300.0,1.064,287.8,12.13,11.1,FALSE POSITIVE
9.1,96.4562198,7029.0,2.704,950.5,11.195,54.6,CANDIDATE
0.63,4.78850084,5208.0,0.772,66.5,2.099,7.2,CANDIDATE
1.37,0.730943372,6143.0,1.067,134.7,3.004,27.0,FALSE POSITIVE
4.02,387.56519,6289.0,1.02,1083.0,13.28,11.8,FALSE POSITIVE
2.58,12.75934489,4963.0,0.826,882.1,3.5889,70.4,CONFIRMED
1.71,67.968656,5670.0,0.95,321.8,7.948,27.3,CONFIRMED
1.58,24.2157996,5659.0,0.885,322.2,4.359,13.6,FALSE POSITIVE
141.7,3.747835042,8529.0,3.065,188920.0,5.28519,6016.2,FALSE POSITIVE
0.95,2.21316437,5921.0,0.83,116.1,3.874,27.9,FALSE POSITIVE
0.52,5.2449156,5823.0,0.878,35.5,8.367,11.7,CANDIDATE
1.91,0.814280672,6366.0,1.543,134.9,2.326,12.3,FALSE POSITIVE
4.52,207.5829306,6688.0,1.79,505.1,7.0686,70.0,CANDIDATE
2.11,11.97884409,5296.0,0.808,707.9,3.751,27.8,CONFIRMED
0.48,4.8807805,4763.0,0.516,79.0,9.4,15.9,FALSE POSITIVE
1.89,9.37663713,6237.0,1.543,118.4,2.1033,21.0,CONFIRMED
2.66,91.95723,5854.0,1.528,308.4,10.471,12.3,CANDIDATE
1.05,6.11784972,6226.0,1.333,60.5,3.458,25.8,CONFIRMED
1.48,3.73090026,5709.0,0.95,191.2,2.9095,24.0,CONFIRMED
2.52,53.5057611,6247.0,1.762,195.6,10.5616,71.2,CANDIDATE
29.01,0.967427812,5066.0,0.709,9127.8,5.8883,323.4,FALSE POSITIVE
25.48,0.784512952,5997.0,0.904,586.0,2.4623,44.4,FALSE POSITIVE
1.35,25.0901574,6033.0,1.788,37.7,8.273,12.1,CANDIDATE
1.55,18.47762694,3395.0,0.283,2604.6,1.94,75.7,CONFIRMED
2.68,3.105507835,4989.0,0.791,904.6,1.7458,178.6,CONFIRMED
3.23,2.217038096,6521.0,1.276,543.7,1.8575,49.5,FALSE POSITIVE
1.17,4.11497357,6011.0,0.927,154.1,3.025,9.7,CANDIDATE
1.81,7.4299322,5635.0,1.252,164.9,4.013,9.8,CANDIDATE
0.73,3.10762684,4908.0,0.782,77.2,2.361,15.6,CONFIRMED
231.85,106.18732,3287.0,152.969,266.1,10.29,8.6,CANDIDATE
1.12,2.27190723,5788.0,0.856,149.0,5.383,36.8,FALSE POSITIVE
53.53,20.867855659,6095.0,1.016,82601.0,5.73122,2768.6,FALSE POSITIVE
1.49,388.67155,5354.0,0.788,371.3,11.701,10.1,FALSE POSITIVE
1.19,1.728521892,5872.0,1.157,92.2,3.361,30.2,FALSE POSITIVE
1.96,362.97828,6086.0,1.216,260.6,14.083,13.0,CANDIDATE
1.11,12.3860474,5121.0,0.888,151.3,2.604,9.1,CANDIDATE
1.55,13.7872627,5691.0,1.458,75.1,5.747,23.9,CANDIDATE
7.13,2.723858181,4416.0,0.733,5497.0,1.4313,23.8,FALSE POSITIVE
1.16,0.92623983,4494.0,0.591,411.4,1.267,9.1,CANDIDATE
1.48,2.949029106,4983.0,0.807,358.3,2.0311,29.3,CONFIRMED
63.99,7.544804312,5953.0,1.609,6501.7,8.2678,587.2,FALSE POSITIVE
47.06,27.308150159,5541.0,0.739,388000.0,4.43906,820.9,FALSE POSITIVE
1.89,31.6084371,6341.0,1.033,331.6,3.675,16.2,CANDIDATE
2.33,6.002548291,6204.0,1.36,202.0,4.1628,71.6,CONFIRMED
1.37,8.70179611,5295.0,0.8,304.1,3.048,11.8,CONFIRMED
1.75,10.19849255,4500.0,0.646,634.1,2.4283,21.4,CONFIRMED
21.49,2.46353343,5541.0,0.777,830.0,2.954,6.8,FALSE POSITIVE
1.74,10.4716194,5812.0,1.574,123.9,4.512,11.7,CANDIDATE
5.27,97.5137491,5437.0,3.18,279.8,2.655,9.1,CANDIDATE
2.23,17.32670445,4955.0,0.721,800.0,4.269,34.8,CONFIRMED
2.0,474.22897,5818.0,0.925,475.2,13.05,7.2,FALSE POSITIVE
1.2,3.93083997,6038.0,1.191,101.4,2.932,22.0,CONFIRMED
2.59,163.820347,4822.0,0.771,1196.0,1.331,7.0,FALSE POSITIVE
22.32,27.009807384,3900.0,0.534,67898.0,1.96698,541.3,FALSE POSITIVE
73.29,1.303858554,6282.0,1.343,126640.0,4.36797,904.0,FALSE POSITIVE
6.02,3.728732147,5497.0,0.809,5226.5,2.683,345.2,CONFIRMED
10.63,5.014234733,6490.0,1.307,6536.0,4.589,794.3,CONFIRMED
1.23,2.345863002,4769.0,0.714,316.7,1.6795,19.6,CANDIDATE
2.09,44.9851885,5295.0,0.8,617.8,4.164,12.7,CANDIDATE
1.89,4.309381978,5541.0,1.089,310.7,2.8977,42.3,CONFIRMED
1.61,4.45814897,6100.0,1.083,188.1,2.867,14.3,CANDIDATE
14.58,651.358046,5122.0,6.261,570.8,4.384,11.0,CANDIDATE
69.23,3.867613816,5780.0,1.046,340910.0,5.36467,1379.1,FALSE POSITIVE
2.41,203.8406,5548.0,1.616,227.4,9.33,8.6,FALSE POSITIVE
6.15,62.312419,4999.0,5.615,123.0,5.561,9.1,CANDIDATE
2.92,59.4969009,4817.0,0.833,1262.1,5.404,23.2,CONFIRMED
1.91,29.9685917,6249.0,1.076,309.5,6.678,26.5,CANDIDATE
1.68,14.4252635,5467.0,1.152,221.2,3.754,15.2,CONFIRMED
1.34,7.23858162,5411.0,0.831,268.2,3.1199,41.6,CONFIRMED
1.92,215.634356,6163.0,1.568,148.0,15.097,12.3,CANDIDATE
1.45,68.1609897,5677.0,0.828,295.6,5.662,25.0,CONFIRMED
2.55,61.0011095,6418.0,1.171,408.0,1.049,4.6,FALSE POSITIVE
27.51,0.444291966,5255.0,0.636,10967.0,2.0792,299.7,FALSE POSITIVE
2.63,157.0659976,5620.0,1.143,551.4,8.1289,50.9,CONFIRMED
90.32,5.579631021,6188.0,1.022,118320.0,3.38646,1268.7,FALSE POSITIVE
24.75,0.93479255,6018.0,1.053,247.5,4.5838,78.3,FALSE POSITIVE
2.31,12.713794177,2661.0,0.116,36719.0,2.44093,2981.3,CANDIDATE
4.39,15.3902613,5649.0,4.994,76.8,3.431,9.4,CANDIDATE
0.72,3.65034525,3704.0,0.45,253.2,1.527,6.0,CANDIDATE
2.54,6.62643441,5616.0,0.903,814.6,3.1752,40.6,CONFIRMED
0.72,0.874629873,5099.0,0.832,68.1,1.782,19.2,FALSE POSITIVE
0.76,5.2438269,4634.0,0.689,128.6,8.235,11.3,FALSE POSITIVE
0.77,528.10984,5618.0,0.811,89.8,18.01,8.4,FALSE POSITIVE
8.95,8.09888906,6214.0,1.076,6911.1,4.20241,435.9,CONFIRMED
1.86,631.99116,5594.0,1.006,345.6,2.99,7.2,CANDIDATE
27.47,2.244600029,5256.0,0.802,8611.0,1.9204,42.6,FALSE POSITIVE
1.53,8.71980135,5970.0,1.2,160.4,3.7454,22.7,CONFIRMED
1.3,0.959853772,6061.0,1.653,55.8,1.9163,27.1,FALSE POSITIVE
2.33,37.8102649,6085.0,0.973,570.3,8.733,35.2,CANDIDATE
5.51,51.53997972,5427.0,0.929,3644.3,6.3994,155.5,CONFIRMED
2.12,3.84933401,5984.0,0.906,503.9,2.299,13.6,FALSE POSITIVE
