koi_prad,koi_period,koi_steff,koi_srad,koi_depth,koi_duration,koi_model_snr,koi_disposition
1.38,2.714078374,5815.0,0.992,143.5,1.3115,36.8,CONFIRMED
1.18,283.72675,6496.0,1.257,84.6,15.49,9.3,FALSE POSITIVE
3.33,15.96532718,5880.0,1.433,482.2,4.5837,144.2,CONFIRMED
1.47,7.68478504,5344.0,0.907,274.1,2.447,21.4,CONFIRMED
1.89,7.75192755,5604.0,0.912,407.3,3.5413,77.3,CONFIRMED
0.96,288.678554,4326.0,0.575,242.5,9.197,10.8,FALSE POSITIVE
1.7,339.18109,6407.0,1.344,157.9,5.34,11.5,FALSE POSITIVE
2.04,0.888045184,6316.0,2.087,90.6,2.1961,26.6,FALSE POSITIVE
1.83,335.56311,6200.0,1.448,158.0,13.06,7.2,FALSE POSITIVE
25.55,2.63009438,6338.0,1.091,388.9,11.226,69.4,FALSE POSITIVE
3.93,65.6480892,5565.0,1.246,588.7,5.746,22.0,CONFIRMED
11.03,27.5837778,5092.0,7.913,202.5,1.516,8.5,CANDIDATE
1.49,8.2344072,6148.0,1.741,59.2,2.808,11.5,FALSE POSITIVE
75.22,9.44942628,5092.0,2.664,1211.9,6.3064,81.1,FALSE POSITIVE
1.12,20.7106368,5631.0,0.901,142.5,2.693,11.0,CANDIDATE
0.63,390.40832,3659.0,0.4,251.9,7.916,8.5,FALSE POSITIVE
75.64,2.071939672,6140.0,1.254,198770.0,4.45367,2409.8,FALSE POSITIVE
0.67,2.46288834,5893.0,0.967,47.4,1.724,11.9,CANDIDATE
2.19,26.524553,4995.0,1.703,174.5,2.359,10.2,CANDIDATE
1.14,10.8644095,3526.0,0.383,748.7,1.853,16.8,CONFIRMED
0.61,6.2321233,5843.0,1.084,31.7,2.85,8.5,CANDIDATE
2.84,47.0568476,5288.0,0.74,1531.2,5.2232,38.0,CONFIRMED
2.11,10.47548084,4463.0,0.611,1070.7,2.3024,40.3,CONFIRMED
10.02,46.15119482,5877.0,1.963,1817.3,6.3427,286.0,CANDIDATE
1.2,7.0956395,5480.0,1.174,108.1,3.465,10.5,CANDIDATE
2.44,61.569765,5626.0,1.389,298.3,9.75,10.9,CANDIDATE
3.2,235.413973,6028.0,1.001,1027.0,3.065,6.9,CANDIDATE
56.3,0.635441862,5780.0,1.0,147610.0,1.9827,317.1,FALSE POSITIVE
20.12,12.82252496,5845.0,1.352,19268.0,18.8,13.7,FALSE POSITIVE
1.67,41.8085031,5794.0,1.225,190.4,7.797,27.3,CONFIRMED
0.81,1.33256418,5157.0,0.62,162.3,4.701,20.7,FALSE POSITIVE
1.57,4.417692516,4766.0,0.664,279.2,2.323,35.1,CONFIRMED
2.13,55.8224775,5162.0,0.736,879.6,5.457,23.7,CONFIRMED
2.96,386.370512,5119.0,0.834,1336.4,11.007,13.1,CONFIRMED
3.21,16.10474503,5822.0,2.886,124.1,5.712,25.4,CONFIRMED
2.77,5.92240377,6081.0,1.077,413.4,3.691,44.4,FALSE POSITIVE
61.58,3.886730304,5780.0,1.0,372420.0,16.1723,280.6,FALSE POSITIVE
4.52,1.28132831,5918.0,1.596,525.5,0.9157,196.4,FALSE POSITIVE
9.0,4.225384543,5574.0,1.054,7563.0,2.82038,1457.8,CONFIRMED
2.45,231.364508,4691.0,0.604,1488.0,4.747,9.2,FALSE POSITIVE
1.65,36.4772788,4910.0,0.755,463.0,2.092,5.8,FALSE POSITIVE
3.41,160.850075,5999.0,1.507,428.1,9.427,16.1,CANDIDATE
0.81,3.27344784,3758.0,0.496,262.5,1.7292,34.0,CONFIRMED
2.39,43.1312147,5839.0,1.067,447.8,3.198,11.8,CONFIRMED
4.06,39.4759093,6225.0,1.031,1012.6,2.968,26.6,CANDIDATE
0.97,5.44085762,5519.0,0.762,137.5,2.119,9.3,CANDIDATE
5.15,11.95474513,5059.0,1.657,903.4,2.1433,96.3,CANDIDATE
1.56,66.6504521,4550.0,0.679,536.9,5.744,27.1,CONFIRMED
1.73,402.27493,6299.0,0.95,294.5,15.67,11.1,CANDIDATE
66.27,20.882125422,6335.0,1.072,233450.0,8.03365,3506.5,FALSE POSITIVE
47.64,0.706428634,4429.0,0.736,372130.0,1.75182,1066.7,FALSE POSITIVE
1.34,8.48651582,6178.0,1.267,110.8,5.267,21.1,CONFIRMED
24.6,25.9518536,5198.0,0.742,2017.9,14.755,79.4,FALSE POSITIVE
25.68,7.244778994,5530.0,0.788,99147.0,3.3873,1761.4,FALSE POSITIVE
4.44,7.7016694,5174.0,3.608,155.7,10.898,17.8,CANDIDATE
0.27,13.3669309,5417.0,0.772,12.2,3.733,7.4,CONFIRMED
99.66,9.58405667,5605.0,2.275,119630.0,6.82752,2595.9,FALSE POSITIVE
11.58,152.1060435,6200.0,1.64,3688.3,7.4517,116.3,CANDIDATE
1.0,1.226223959,5855.0,1.34,56.1,2.1689,18.9,CONFIRMED
0.68,3.6092231,6032.0,0.929,52.4,2.8,4.4,CANDIDATE
3.62,1.547426532,6612.0,1.264,532.9,16.1346,210.1,FALSE POSITIVE
0.93,2.39161966,4935.0,0.685,189.2,1.906,13.6,CANDIDATE
2.67,9.76734503,5527.0,0.927,569.1,1.6585,21.1,CONFIRMED
6.73,0.72359699,8855.0,2.858,495.6,1.326,14.8,FALSE POSITIVE
3.44,42.4269647,5330.0,1.013,632.4,5.907,26.0,CANDIDATE
2.39,34.9168399,6194.0,1.069,500.0,7.343,15.4,CONFIRMED
0.83,0.693842661,5457.0,1.196,49.3,1.6197,28.9,CONFIRMED
3.13,26.62941953,5866.0,1.417,492.8,7.8709,106.9,CANDIDATE
0.76,12.67143692,3705.0,0.529,215.8,2.498,13.7,CANDIDATE
5.12,3.126861192,4854.0,1.749,794.6,1.1926,94.6,CONFIRMED
0.58,5.22402436,5487.0,0.84,48.1,2.608,15.1,CANDIDATE
1.34,12.55111099,4213.0,0.598,494.1,3.1293,33.2,CONFIRMED
0.97,6.96197304,5008.0,0.814,151.3,2.806,8.8,CANDIDATE
2.33,37.8102649,6085.0,0.973,570.3,8.733,35.2,CANDIDATE
1.04,2.51989935,5646.0,0.841,147.2,1.55,7.7,FALSE POSITIVE
2.35,353.40191,4957.0,0.763,948.0,6.681,9.1,FALSE POSITIVE
2.44,24.7577652,6106.0,0.966,458.7,6.998,37.6,CONFIRMED
3.21,8.29084167,5103.0,0.787,1033.9,3.613,34.7,CONFIRMED
1.87,111.149082,5763.0,0.948,394.2,2.911,5.9,CANDIDATE
1.88,0.631795416,6414.0,1.519,145.2,1.0703,24.7,FALSE POSITIVE
26.82,3.166465862,4968.0,0.704,4357.2,2.9381,122.1,FALSE POSITIVE
1.5,1.23935745,5370.0,0.966,150.9,1.683,9.7,CANDIDATE
2.51,132.9955503,4523.0,0.659,1275.4,7.436,29.3,CONFIRMED
2.34,12.33087921,5376.0,0.806,872.2,3.0664,28.3,CONFIRMED
1.24,1.74610057,4854.0,1.749,54.2,1.299,9.2,CANDIDATE
3.01,36.9250409,5926.0,0.887,902.0,4.9381,39.3,CONFIRMED
2.66,46.40626,6086.0,1.227,469.1,7.0281,51.2,CONFIRMED
1.61,5.433132902,4963.0,0.826,328.2,2.4012,33.1,CONFIRMED
1.71,10.99470891,4302.0,0.586,884.7,1.5929,32.7,CONFIRMED
46.59,0.639721284,4794.0,0.625,465920.0,2.69771,1012.9,FALSE POSITIVE
1.34,374.59003,5497.0,0.827,267.9,15.19,6.6,FALSE POSITIVE
1.98,10.0714369,5768.0,2.81,49.5,6.891,10.8,CANDIDATE
2.26,19.32945602,5026.0,0.763,935.5,3.794,26.8,CONFIRMED
30.24,22.9138322,6154.0,1.334,340.3,4.855,8.0,FALSE POSITIVE
2.52,8.35389523,5592.0,0.787,1041.6,2.2514,43.4,CONFIRMED
21.71,23.6270348,5305.0,0.857,8433.0,11.481,78.4,FALSE POSITIVE
2.07,4.24439049,5896.0,1.24,174.0,3.282,15.1,CONFIRMED
1.93,18.6848377,4156.0,0.545,1251.5,3.7965,41.2,CONFIRMED
3.28,4.9883873,6418.0,1.171,507.6,9.059,42.4,FALSE POSITIVE
73.06,73.3377984,7276.0,1.321,114900.0,9.029,155.5,FALSE POSITIVE
1.35,0.687895191,4478.0,0.651,462.5,2.4233,60.9,FALSE POSITIVE
1.47,5.04404366,6039.0,0.951,236.5,1.682,11.6,CANDIDATE
2.39,3.595769013,5762.0,1.196,383.7,3.1569,45.9,CONFIRMED
3.94,487.83894,5421.0,1.877,453.3,32.77,8.8,CANDIDATE
47.83,29.911334059,5303.0,0.704,354380.0,7.26916,1349.8,FALSE POSITIVE
2.11,10.47548084,4463.0,0.611,1070.7,2.3024,40.3,CONFIRMED
78.24,3.481657589,6225.0,1.291,347010.0,4.75315,7428.7,FALSE POSITIVE
92.28,14.443127448,5757.0,2.736,41685.0,8.33598,2186.0,FALSE POSITIVE
118.28,1.827558898,5977.0,2.077,314680.0,4.72808,920.8,FALSE POSITIVE
1.82,1.729367077,5227.0,0.838,484.4,1.7442,44.7,CONFIRMED
11.16,5.89399142,5713.0,0.893,10993.0,1.2737,252.5,CANDIDATE
1.29,0.566802891,6487.0,1.748,49.2,1.861,14.4,FALSE POSITIVE
3.09,31.71981013,5869.0,1.626,363.4,4.819,63.1,CONFIRMED
0.91,6.9131732,6296.0,1.444,39.1,4.73,12.5,CONFIRMED
4.56,6.581477136,5188.0,0.973,2318.9,3.0896,116.2,CONFIRMED
1.08,6.29340543,6214.0,1.076,96.4,3.024,8.7,CANDIDATE
1.69,17.634272,4885.0,1.979,76.7,1.387,9.7,CANDIDATE
0.77,2.58393841,6164.0,1.09,49.4,2.169,8.5,CANDIDATE
36.05,34.08429351,5252.0,0.922,3746.0,1.3521,28.7,CANDIDATE
35.62,2.479948394,5391.0,0.822,150680.0,5.7219,489.6,FALSE POSITIVE
1.2,3.83488354,5515.0,0.775,243.0,2.026,10.9,CANDIDATE
1.85,7.97420583,5973.0,1.081,293.1,5.3503,55.1,CONFIRMED
0.91,13.2970695,4500.0,0.633,219.7,3.283,14.9,CONFIRMED
2.22,16.21774917,5837.0,0.798,758.3,4.9274,80.3,CONFIRMED
1.54,3.215109385,5541.0,0.934,158.0,4.365,53.3,CANDIDATE
1.5,22.2941485,5915.0,1.392,100.9,3.188,13.6,FALSE POSITIVE
1.17,23.9830523,5696.0,1.292,83.2,8.77,11.3,CANDIDATE
2.68,9.84824649,5814.0,1.248,436.7,5.7471,25.3,CONFIRMED
1.24,9.18244299,6194.0,1.314,87.6,4.318,20.3,CONFIRMED
69.8,20.733748565,5620.0,0.974,417340.0,6.28773,2236.7,FALSE POSITIVE
0.62,3.19938075,5483.0,0.702,76.1,1.761,9.8,CANDIDATE
90.39,2.441988077,6078.0,2.059,95344.0,3.94526,1174.5,FALSE POSITIVE
44.56,32.440339204,5081.0,0.696,287600.0,4.50984,2177.0,FALSE POSITIVE
2.25,0.542498653,8711.0,2.954,54.9,4.257,19.8,FALSE POSITIVE
45.65,11.567974732,5290.0,0.648,416030.0,5.96595,2341.5,FALSE POSITIVE
0.85,0.933728196,6170.0,1.032,67.7,3.441,13.3,CANDIDATE
2.2,13.09390911,5772.0,0.956,398.7,2.2805,62.2,CONFIRMED
0.95,8.48032079,5415.0,0.728,170.7,5.791,14.7,FALSE POSITIVE
1.46,1.74145041,5238.0,0.764,370.6,1.712,10.9,CANDIDATE
1.02,11.39169531,5557.0,1.249,51.0,5.0,19.0,CANDIDATE
14.92,3.548465446,6290.0,1.746,7251.5,4.56904,2486.5,CONFIRMED
1.51,28.8672107,5191.0,0.837,347.1,3.782,12.0,CANDIDATE
2.86,411.447056,6519.0,1.672,285.2,3.481,7.3,CANDIDATE
3.44,66.4159789,5383.0,0.759,2053.2,7.061,33.6,CONFIRMED
2.06,5.16949729,6011.0,1.409,210.6,4.5122,66.2,CONFIRMED
6.01,135.4978256,5307.0,0.757,5038.1,6.769,73.2,CONFIRMED
1.18,5.21104597,6023.0,1.031,102.7,3.3447,36.9,CONFIRMED
0.92,135.223193,6181.0,1.227,56.3,8.989,8.9,FALSE POSITIVE
3.05,14.30517579,5741.0,0.846,863.4,4.535,37.5,CONFIRMED
2.36,60.4189369,5354.0,0.788,931.3,5.039,20.1,CONFIRMED
1.25,1.196548464,4999.0,0.843,224.6,1.2592,16.5,CONFIRMED
1.9,11.39110963,4999.0,0.76,593.4,2.749,12.1,CANDIDATE
1.55,368.72715,5401.0,0.749,426.6,5.06,6.4,FALSE POSITIVE
4.01,96.109323,5792.0,1.005,982.3,9.877,28.7,CONFIRMED
1.3,3.072146607,4041.0,0.567,539.0,1.8732,44.9,CONFIRMED
2.4,88.0712769,4939.0,0.819,885.4,6.758,18.1,CANDIDATE
4.24,20.74028645,6226.0,1.299,1023.3,10.3939,155.3,CONFIRMED
1.74,11.29689442,6096.0,1.176,198.5,4.623,20.9,CONFIRMED
1.91,31.0259489,6075.0,0.969,385.4,5.692,12.7,CANDIDATE
1.53,8.07127043,5766.0,0.853,318.2,2.393,16.9,CONFIRMED
1.12,6.36283414,5955.0,0.883,159.4,3.752,9.9,CANDIDATE
0.64,12.9284553,3578.0,0.375,297.9,2.49,8.2,CANDIDATE
2.39,37.9962369,6038.0,1.191,403.7,6.7751,37.8,CONFIRMED
1.43,91.507044,5040.0,0.626,539.0,5.019,12.4,CANDIDATE
2.71,10.692115,6474.0,1.242,408.4,4.657,9.4,CANDIDATE
2.41,51.5738653,5380.0,0.813,900.7,2.784,13.2,CANDIDATE
20.79,43.796785,6109.0,0.941,256.3,18.84,21.2,FALSE POSITIVE
2.25,353.01861,6450.0,1.155,375.1,15.583,14.9,CANDIDATE
5.1,5.90741476,4963.0,0.69,5569.0,1.016,7.2,CONFIRMED
2.1,2.226496196,3640.0,0.503,1839.1,1.7073,36.0,CONFIRMED
1.14,3.61460279,5711.0,1.391,64.8,3.227,14.9,CONFIRMED
3.4,287.75613,4965.0,0.781,1987.0,5.487,6.6,CANDIDATE
2.5,43.0343364,5550.0,0.911,541.6,6.571,50.0,CONFIRMED
1.57,15.604841,6254.0,1.706,73.4,4.543,15.3,CONFIRMED
2.83,326.70552,6036.0,0.998,794.0,3.36,9.1,CANDIDATE
3.01,23.9210408,7121.0,1.972,158.3,5.174,21.9,CONFIRMED
2.25,178.139072,5431.0,0.879,678.8,9.654,20.3,CONFIRMED
1.29,8.041347775,3980.0,0.54,591.0,2.6332,77.5,CONFIRMED
2.08,13.0267964,5083.0,0.844,356.6,0.785,11.4,CANDIDATE
1.47,69.089357,4848.0,0.698,475.1,6.207,8.6,CANDIDATE
2.57,47.0563327,5889.0,0.924,762.0,4.807,12.1,CANDIDATE
6.15,217.792748,5600.0,1.283,1487.0,4.695,16.6,CANDIDATE
0.69,0.969602551,4856.0,0.66,111.0,1.728,10.4,FALSE POSITIVE
1.5,19.96367208,5250.0,0.79,270.9,2.6403,36.3,CONFIRMED
1.16,1.340596782,5992.0,1.125,107.5,1.6484,37.6,CONFIRMED
2.52,6.30558387,4934.0,1.756,193.1,2.619,9.5,CONFIRMED
26.69,1.35337091,5426.0,0.784,104560.0,2.2396,303.0,FALSE POSITIVE
0.74,1.716828304,5808.0,0.902,59.5,2.068,14.2,CANDIDATE
2.95,48.8130123,6202.0,1.11,702.0,1.538,8.8,CANDIDATE
2.17,1.655467295,4583.0,0.695,1059.4,3.2424,98.7,FALSE POSITIVE
1.75,6.49441464,4769.0,0.742,357.3,2.344,17.7,CONFIRMED
2.85,5.40426917,6122.0,0.964,860.6,2.5315,40.5,CONFIRMED
187.73,1.152216965,5560.0,15.113,12072.0,2.2245,104.5,FALSE POSITIVE
1.94,4.86634094,4996.0,0.831,366.7,1.885,15.2,CANDIDATE
1.88,16.28247625,4671.0,0.68,792.6,2.9227,60.0,CONFIRMED
2.32,22.36646466,5395.0,0.734,986.8,5.228,32.1,CONFIRMED
3.39,1.389947459,5999.0,0.95,1213.8,1.193,136.4,FALSE POSITIVE
3.84,13.73808249,6375.0,1.178,660.7,3.354,68.4,CANDIDATE
1.52,39.399926,5913.0,0.795,341.4,5.729,9.4,CANDIDATE
2.11,205.385912,4400.0,0.624,1248.7,8.681,24.3,CANDIDATE
1.09,1.04347858,6014.0,2.246,22.5,2.012,8.6,CANDIDATE
2.01,21.8420304,6194.0,2.241,79.5,3.843,9.5,CANDIDATE
1.53,25.9528725,6370.0,1.106,164.1,12.434,16.9,FALSE POSITIVE
12.19,60.32494216,5485.0,0.867,20280.0,6.6188,347.2,CONFIRMED
9.66,6.491682808,6123.0,1.107,7163.3,4.301,502.3,CONFIRMED
2.35,14.16400071,5440.0,0.885,728.1,4.3031,71.5,CONFIRMED
1.41,6.93910337,3638.0,0.42,614.7,2.977,22.9,CANDIDATE
1.72,87.707513,4944.0,0.721,578.0,2.184,7.1,CANDIDATE
0.99,0.588001053,3814.0,0.57,297.4,1.1451,50.9,CONFIRMED
1.04,1.090011003,5081.0,0.77,174.8,1.5,12.6,CANDIDATE
3.09,9.6887216,6457.0,1.196,655.5,2.0,18.1,CANDIDATE
2.02,93.881556,5676.0,1.487,188.7,20.644,23.7,FALSE POSITIVE
0.93,0.306702491,5310.0,0.786,138.8,0.9074,21.9,CANDIDATE
3.29,8.7396758,4406.0,0.628,1431.0,3.866,15.6,CANDIDATE
1.15,0.566794934,6395.0,1.049,68.9,4.399,21.7,FALSE POSITIVE
0.87,0.428046051,5285.0,0.775,126.0,0.776,14.1,CANDIDATE
2.64,13.57078281,5854.0,1.012,511.7,3.3539,88.4,CONFIRMED
1.61,61.083322,5803.0,1.015,227.5,10.396,11.5,CANDIDATE
32.58,1.061008464,4239.0,0.454,408770.0,2.8029,997.7,FALSE POSITIVE
13.68,1.02104719,6444.0,1.2,246.1,6.39,18.5,FALSE POSITIVE
2.41,184.77271,5273.0,0.801,951.4,9.568,21.0,CONFIRMED
0.78,0.689967868,4872.0,0.726,122.9,1.1688,28.7,CONFIRMED
1.96,15.52861675,5750.0,0.882,500.0,2.131,17.3,FALSE POSITIVE
1.08,9.65188331,5768.0,1.067,103.2,4.296,19.8,CONFIRMED
4.59,5.640676975,5794.0,1.216,1453.3,2.8354,145.9,CONFIRMED
3.33,49.6220669,5938.0,1.184,505.5,7.222,47.6,CONFIRMED
48.61,1.922009494,5880.0,1.087,6547.8,3.101,284.4,FALSE POSITIVE
10.77,3.403743926,5596.0,0.853,815.9,1.5017,59.5,CANDIDATE
1.35,29.2254372,6049.0,1.008,174.1,5.293,15.7,CANDIDATE
0.73,6.28384079,5888.0,1.227,35.7,4.291,14.9,CONFIRMED
68.52,20.148807707,5547.0,0.918,526950.0,8.52557,3487.5,FALSE POSITIVE
1.17,297.78282,4192.0,0.59,392.4,18.38,10.8,CANDIDATE
1.15,10.7769944,5455.0,0.852,185.6,2.616,11.3,CANDIDATE
2.36,48.0506878,5332.0,1.453,274.5,7.999,15.1,CONFIRMED
23.55,3.204222652,5139.0,0.741,898.4,2.7952,45.5,FALSE POSITIVE
1.88,0.571940563,5827.0,2.286,54.3,0.9031,22.8,FALSE POSITIVE
82.4,45.035589512,6484.0,1.153,404840.0,9.8341,1763.5,FALSE POSITIVE
1.64,3.351556891,5185.0,0.911,341.9,2.4005,38.8,FALSE POSITIVE
1.19,6.98472143,5839.0,1.227,90.7,2.724,11.7,CONFIRMED
82.26,11.3775281,6943.0,1.66,1651.3,12.918,38.2,FALSE POSITIVE
2.69,124.5245224,5497.0,1.046,689.9,9.654,47.5,CONFIRMED
0.6,4.08197713,6538.0,1.156,26.2,2.943,9.3,CANDIDATE
1.29,2.352273912,4816.0,0.748,318.6,1.7389,20.4,CONFIRMED
1.13,0.952374508,4754.0,0.821,204.8,3.006,33.0,FALSE POSITIVE
1.41,3.15722086,6120.0,2.0,49.7,3.762,17.4,CANDIDATE
2.48,8.2766028,6787.0,2.753,73.1,4.834,10.0,CANDIDATE
2.39,74.371666,6865.0,2.211,102.8,12.59,12.1,CANDIDATE
1.62,18.5010898,5242.0,0.734,421.1,3.179,14.7,CANDIDATE
1.96,362.97828,6086.0,1.216,260.6,14.083,13.0,CANDIDATE
1.33,22.9221181,5897.0,1.081,140.3,8.2,24.0,CONFIRMED
13.43,1.544928892,6309.0,1.412,5817.3,1.43586,1109.7,CONFIRMED
1.17,10.2170589,6211.0,1.054,121.3,2.259,7.9,CANDIDATE
42.51,1.012694226,6487.0,1.233,108500.0,3.6017,185.1,FALSE POSITIVE
7.37,26.94927489,4723.0,0.512,19964.0,10.6977,415.7,FALSE POSITIVE
1.91,213.201978,4594.0,0.752,696.9,15.396,12.9,FALSE POSITIVE
2.64,28.4750006,4996.0,0.831,763.8,4.718,21.4,CONFIRMED
2.22,16.21774917,5837.0,0.798,758.3,4.9274,80.3,CONFIRMED
2.51,0.94895231,6661.0,3.067,57.7,3.952,18.1,FALSE POSITIVE
1.19,25.2149143,5435.0,0.873,174.1,5.76,9.9,CONFIRMED
2.29,7.35390869,6385.0,2.327,92.9,2.061,11.1,FALSE POSITIVE
0.87,0.855922327,5437.0,0.759,130.9,1.514,21.1,FALSE POSITIVE
1.7,3.78402867,5196.0,0.775,426.1,1.9012,25.6,CONFIRMED
2.32,177.668663,4721.0,0.701,901.4,9.298,12.7,CONFIRMED
2.69,5.945043548,5105.0,0.868,800.2,2.7004,67.6,CONFIRMED
2.08,1.433339604,6077.0,0.999,305.2,1.3665,39.6,CANDIDATE
17.06,2.384052875,4794.0,0.701,1268.1,3.0918,50.5,FALSE POSITIVE
2.35,14.16400071,5440.0,0.885,728.1,4.3031,71.5,CONFIRMED
11.58,3.525632539,5150.0,0.793,22335.0,2.59959,1996.7,CONFIRMED
2.2,5.53609368,3891.0,0.564,1223.3,2.2942,22.6,CONFIRMED
2.78,8.99088621,5881.0,1.171,469.7,4.2447,93.6,CONFIRMED
2.64,36.06588163,4702.0,0.686,1563.8,4.3246,51.7,CONFIRMED
2.01,6.79685353,6061.0,0.97,393.1,3.1702,29.8,CANDIDATE
6.98,165.3447044,5594.0,0.812,4899.0,3.09,48.0,CANDIDATE
67.24,2.525386934,6826.0,1.233,124880.0,3.71613,1003.0,FALSE POSITIVE
0.68,7.7859111,6045.0,0.954,45.5,7.788,12.0,CANDIDATE
1.67,1.141148847,5438.0,1.989,73.1,1.629,12.7,CANDIDATE
6.54,6.39903778,5178.0,4.856,186.6,3.15,24.1,FALSE POSITIVE
2.66,46.40626,6086.0,1.227,469.1,7.0281,51.2,CONFIRMED
1.06,7.95825328,5847.0,1.402,50.0,4.377,14.7,CONFIRMED
2.61,7.03380109,6122.0,1.934,138.5,6.4185,46.7,CANDIDATE
2.4,19.17893976,5767.0,0.881,752.8,5.144,34.3,CONFIRMED
2.13,16.09196369,5680.0,1.016,415.8,2.8943,84.9,CONFIRMED
1.66,7.2681817,6297.0,2.219,46.7,4.985,9.7,CANDIDATE
4.22,24.81097206,6086.0,0.921,2090.8,3.2245,123.9,CANDIDATE
10.83,281.5628889,4810.0,0.776,21012.0,8.853,237.1,CANDIDATE
3.24,415.748785,5324.0,1.534,463.7,3.313,9.2,CANDIDATE
1.63,14.8783945,5822.0,0.837,322.8,7.491,22.9,CONFIRMED
114.14,37.482223878,6422.0,2.415,28977.0,4.81451,1262.3,FALSE POSITIVE
1.45,9.6550473,4999.0,0.843,313.1,2.752,12.2,CANDIDATE
1.01,185.83013,6137.0,1.187,72.6,10.14,8.1,FALSE POSITIVE
90.12,62.7356439,6211.0,1.44,243700.0,10.7925,1115.3,FALSE POSITIVE
26.56,1.507099289,5762.0,0.801,1282.0,4.8361,142.7,FALSE POSITIVE
98.16,1.457256942,6630.0,1.416,364900.0,6.51381,2443.8,FALSE POSITIVE
1.7,3.76417012,5063.0,0.728,558.4,2.0111,27.2,CONFIRMED
3.24,17.44486016,5568.0,0.966,826.9,4.445,46.0,CONFIRMED
4.44,119.0192648,5754.0,0.905,1977.0,8.1,31.1,FALSE POSITIVE
5.47,35.7353616,6366.0,1.697,778.8,8.491,58.4,CONFIRMED
1.5,10.21507506,5406.0,0.95,258.6,3.395,17.4,FALSE POSITIVE
2.29,44.5520266,6036.0,1.131,362.1,6.0,16.7,CONFIRMED
1.08,4.3638313,5623.0,0.763,194.1,1.457,10.3,CANDIDATE
0.66,0.566795586,6108.0,0.997,39.4,4.124,19.6,FALSE POSITIVE
21.07,1.12679793,5662.0,0.84,227.2,12.079,21.1,FALSE POSITIVE
1.23,3.757294695,4901.0,0.716,273.3,0.9269,23.4,CANDIDATE
0.97,2.27164952,6274.0,1.062,82.4,4.054,12.7,CONFIRMED
2.16,7.8774163,4126.0,0.615,1306.1,2.0805,38.7,CONFIRMED
3.25,27.08239734,5857.0,1.305,423.2,5.0119,40.9,CONFIRMED
5.97,17.5509742,5780.0,1.0,3859.0,4.064,9.7,FALSE POSITIVE
9.92,0.683082998,8247.0,7.762,143.3,4.409,26.1,FALSE POSITIVE
1.36,0.675650404,5966.0,0.961,200.7,1.8261,22.4,CONFIRMED
1.31,11.8496351,6032.0,0.929,183.8,3.319,9.6,CANDIDATE
2.38,176.331289,6146.0,2.251,109.8,13.89,8.4,CANDIDATE
0.56,3.55650403,3745.0,0.427,132.3,6.862,11.8,FALSE POSITIVE
1.08,15.5943758,6249.0,1.076,95.4,7.367,11.9,CANDIDATE
0.68,9.5539134,6175.0,1.307,26.8,5.261,13.1,CANDIDATE
2.61,2.43902575,6546.0,2.784,82.5,1.1598,20.5,CANDIDATE
2.4,366.24282,5713.0,0.893,733.7,15.76,18.2,FALSE POSITIVE
49.29,19.221388942,6117.0,0.947,74284.0,4.79843,2317.0,FALSE POSITIVE
1.21,14.6672293,5677.0,0.828,198.1,3.742,30.5,CONFIRMED
5.86,1.78752921,6286.0,7.342,62.9,5.315,16.0,FALSE POSITIVE
1.91,5.45849914,5914.0,1.135,255.9,4.0448,72.0,CONFIRMED
1.4,6.41097179,5383.0,0.933,233.5,2.582,8.5,CANDIDATE
3.89,6.412512953,6026.0,1.108,1156.4,5.2677,183.1,CONFIRMED
1.26,5.90260586,4960.0,0.707,337.7,1.832,8.2,CANDIDATE
2.8,273.169948,5880.0,1.65,283.3,2.701,6.2,FALSE POSITIVE
1.27,150.728285,5778.0,0.871,213.5,2.718,5.6,CANDIDATE
3.27,28.51117639,4687.0,0.69,1844.6,4.5941,145.5,CONFIRMED
2.78,8.99088621,5881.0,1.171,469.7,4.2447,93.6,CONFIRMED
1.92,5.92972237,5741.0,0.956,412.1,2.518,8.9,CONFIRMED
3.17,10.4188915,5692.0,1.064,670.0,3.0069,42.1,CANDIDATE
49.2,13.691790011,6295.0,1.554,97564.0,5.64674,8326.3,FALSE POSITIVE
50.28,2.028512246,6105.0,1.025,121560.0,5.00309,1545.8,FALSE POSITIVE
1.44,6.73893544,4126.0,0.602,601.3,2.813,24.2,CONFIRMED
1.75,58.7488629,5574.0,0.805,473.6,3.191,13.6,CANDIDATE
1.91,49.3567907,5862.0,1.67,130.2,10.954,35.0,CONFIRMED
3.04,11.38840217,5876.0,1.456,438.0,3.6949,34.7,CONFIRMED
2.66,3.76181843,5653.0,0.949,510.6,3.5176,35.9,CONFIRMED
3.4,118.3786735,5657.0,1.046,1083.3,9.5574,83.1,CONFIRMED
2.35,282.34315,7092.0,1.525,220.5,3.956,3.7,FALSE POSITIVE
1.48,8.94337724,6074.0,1.005,215.1,2.469,18.4,CANDIDATE
14.5,45.680876,4835.0,7.917,350.3,2.293,3.7,FALSE POSITIVE
1.95,8.40693068,5365.0,1.533,167.1,1.866,6.8,CONFIRMED
16.89,2.155278342,5665.0,0.82,20739.0,2.1064,142.7,FALSE POSITIVE
0.82,0.798467681,5575.0,0.733,120.7,0.86,9.4,FALSE POSITIVE
1.33,1.926353494,6063.0,0.899,185.1,2.5305,36.9,FALSE POSITIVE
